model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.6695726915520629,0.4077504725897921,0.7047867995425584,0.5166157715106879,0.7472040935949621
RandomForest,0.6803781925343811,0.4167488656539751,0.6902466917170397,0.5197121594193985,0.7494008764023071
