model,MAE,RMSE,R2
DecisionTree,34243.51086676922,47598.520032174805,0.23258541529290844
RandomForest,33387.98327890516,46373.167633668236,0.27158869983973877
GradientBoosting,33495.24069875953,46139.18713516962,0.2789207013709669
