job_id,cluster
921716,2
1829192,1
10998357,2
23221523,1
35982263,1
91700727,1
103254301,3
112576855,0
1218575,1
2264355,2
9615617,1
11009123,2
56482768,1
56924323,1
69333422,0
83789755,1
95428182,0
103860943,1
111513530,0
115639136,2
117675818,1
121605673,1
133130219,2
134286190,2
136743465,1
141969940,1
175485704,4
196406165,3
227832999,1
228003844,1
229924287,0
231010577,2
243731357,1
258868844,3
263583866,0
266566927,1
266825034,1
280496925,2
345332937,2
358267047,2
368586246,1
445337908,2
606178500,1
634823509,2
658723396,0
705356075,2
805229245,2
844454682,2
857299959,2
935210241,1
974774701,3
1014822088,3
1093227543,2
1129235875,0
1143359956,2
1168783207,3
1183148438,1
1219205895,1
1448163866,1
1573178251,3
1586552873,2
1755471110,1
1826257634,0
1880409118,1
2011147642,1
2147609712,1
2147609754,1
2147609766,2
2147609774,1
2147609785,2
2147609789,1
2147609816,2
2147609835,2
2147609840,2
2147609858,1
2147609929,2
2157930553,1
2195921577,1
2234533717,3
2269442456,3
2314566469,2
2372177891,2
2404832493,1
2428973832,2
2457183642,2
2558399667,2
2735151240,1
2737009242,2
2747409392,0
2748500131,0
2790549389,3
2796728000,1
2826285517,3
2838336689,6
2914254129,2
2920450495,1
2934066464,1
2954591060,2
2957460032,2
2974397965,2
2987175317,2
2989631782,1
3018278978,1
3040487795,2
3045980831,2
3075721793,1
3117273910,1
3127577086,0
3169712432,1
3177010992,2
3184403524,1
3189117072,1
3190494363,2
3196627399,1
3211657373,0
3219089287,3
3245063922,2
3251984218,3
3260455681,0
3270034794,2
3273249702,0
3277232283,3
3297645846,2
3299509053,2
3308438674,1
3322949022,0
3328787598,1
3363439517,2
3364366864,1
3366698309,3
3377655935,2
3379554375,2
3383214611,0
3386174836,2
3398076960,3
3407282046,2
3422171886,2
3426467577,1
3431736996,0
3438939828,0
3438976411,2
3447180215,3
3452435884,2
3458210342,1
3466187886,2
3475821770,2
3475933396,0
3478606637,2
3478651125,1
3480552482,3
3483544074,2
3486250934,3
3487703305,2
3492110889,1
3499072207,1
3511440340,0
3514667133,2
3514683108,2
3515274431,3
3520238337,3
3527189387,2
3530975184,2
3531344675,0
3533320307,2
3537193915,2
3540371917,1
3544166785,2
3547664337,3
3548616699,1
3550388220,1
3551631423,1
3555161614,3
3564676727,2
3566954493,1
3574102287,2
3578562287,1
3580530332,2
3580545157,3
3581219846,1
3582587683,2
3583960568,3
3586167732,2
3586242087,1
3592392532,2
3592869068,1
3594311833,4
3594710940,3
3599918756,2
3606129051,1
3606634863,1
3609090859,2
3610032286,3
3610591138,1
3610596223,3
3614817348,0
3619548798,1
3625991523,2
3626110567,0
3627141928,0
3629278196,3
3635014033,1
3635117665,1
3635916819,1
3636873993,2
3638272617,3
3639866700,3
3642223753,1
3644730777,3
3649948789,1
3651735073,0
3651779099,0
3656167404,3
3658924039,2
3659406780,1
3660449148,3
3662420217,1
3663813835,2
3665701347,2
3666781416,2
3678077169,3
3679026145,2
3681437990,0
3682650399,2
3684991720,1
3687125020,3
3690117793,1
3691624158,3
3691793998,1
3692329268,2
3693083161,2
3693886408,3
3694149664,0
3698445650,2
3699237531,2
3699309082,2
3699945651,2
3700064749,0
3700068571,2
3700617207,1
3700694895,1
3701198910,1
3702659694,3
3703151811,3
3704185899,2
3704190127,2
3706460061,3
3708511732,1
3708903045,1
3708944827,0
3709615746,3
3709767981,3
3710273988,3
3713452241,1
3713898217,0
3715249215,2
3715436359,2
3715891138,1
3720358336,0
3720384155,1
3720682554,2
3722423668,2
3723312535,2
3723335242,2
3726732147,2
3726764279,0
3727712512,2
3728459637,3
3728879926,2
3728884217,0
3729323858,1
3729754558,2
3729768983,3
3731003001,1
3731389852,2
3736083076,1
3736684097,3
3736994600,1
3738006446,1
3738844984,3
3739446309,0
3739478140,3
3741582728,2
3742627219,1
3742692445,3
3743875708,3
3744106614,0
3744936604,3
3745677818,1
3747072157,2
3748229910,0
3748720888,2
3748909502,1
3752057112,3
3753758156,1
3755323506,2
3756640753,3
3757672875,6
3758935273,0
3761818635,2
3761942097,2
3762860888,2
3763494664,1
3764329709,2
3765212611,0
3765433504,3
3766290342,1
3766973763,1
3767020403,1
3767035869,1
3769036399,2
3769518300,1
3769551683,2
3770151266,0
3771168117,3
3773070651,0
3773564741,1
3774103540,3
3774870894,1
3776631402,1
3777016674,1
3777765500,3
3778036844,1
3778723781,1
3779260325,2
3780003361,2
3780415828,2
3782349432,2
3782409045,4
3782812525,3
3783977901,2
3783979663,1
3784021865,2
3784077709,1
3784120102,3
3784367296,0
3784435614,0
3785146504,1
3785849500,3
3787279047,2
3787503302,3
3787839455,0
3788295344,1
3788738919,2
3788980998,0
3789379757,0
3789402808,1
3790001722,2
3791290709,2
3792233622,1
3792245483,0
3792362600,3
3792413736,3
3792953441,2
3794063618,2
3794986432,3
3795134838,2
3795138975,1
3795149962,1
3795156068,1
3795156313,2
3797449314,0
3797460723,2
3798453023,0
3798658570,1
3799217187,3
3799458858,3
3800272386,0
3800989742,1
3801646969,2
3802026770,1
3802335735,3
3802339957,3
3802602037,0
3803052628,1
3803055615,3
3803659249,2
3804603307,2
3804822096,3
3805103054,3
3808471710,1
3808735054,1
3808747564,2
3809032639,2
3809698192,2
3811513595,2
3812656624,3
3812809624,2
3812814309,4
3813135937,2
3813645405,1
3813844724,3
3814231424,3
3814546942,2
3814570200,2
3814723048,1
3814983923,2
3814998643,1
3815284050,0
3815485980,3
3815847830,2
3816172762,2
3816179292,2
3816415678,1
3816831972,1
3817203807,0
3817454364,2
3818306840,0
3818311020,3
3818831254,3
3819416106,2
3819767400,2
3820392998,2
3820446027,2
3821047961,2
3821064325,1
3821190632,1
3821689873,3
3822435165,2
3822582873,1
3822583239,2
3823861441,0
3824661875,2
3825550267,0
3826177405,2
3826266913,2
3826269982,1
3827268681,3
3827789831,3
3827923756,2
3827945924,2
3828515870,2
3829182727,2
3829184899,2
3829242915,1
3829280858,0
3829619875,3
3830297838,0
3830313052,0
3830396637,2
3830916199,2
3831143681,1
3831148511,0
3831190800,1
3831214149,2
3831807497,2
3831919828,3
3832103385,1
3832120119,1
3832947295,0
3833199912,2
3833295504,3
3833402351,1
3833894876,2
3834087866,1
3835324900,2
3835341304,2
3835341430,2
3835357335,1
3835671506,0
3835703401,2
3835806869,4
3835918209,0
3835965860,2
3836372583,2
3836602983,2
3836759104,1
3836793450,1
3837482218,2
3837546918,2
3837811979,1
3838150253,0
3838161045,1
3838533579,2
3838581744,1
3838732090,3
3838774352,0
3839567678,3
3840166122,1
3840217276,3
3840554223,2
3840584142,3
